model,n_features,n_splits,scorer,outliers,scores
LinearRegression,9,2,mae,no,[-0.59219461 -0.99868958]
LinearRegression,9,2,mse,yes,[0.44236428 0.94268415]
LinearRegression,9,2,mse,no,[0.45284643 0.23124101]
LinearRegression,10,2,r2_score,yes,[-0.65937529 -1.13244376]
LinearRegression,10,2,r2_score,no,[-0.38732995 -0.21679636]
LinearRegression,10,2,mae,yes,[-0.71015101 -1.40834984]
LinearRegression,10,2,mae,no,[-0.57684262 -0.9936428 ]
LinearRegression,10,2,mse,yes,[0.65937529 1.13244376]
LinearRegression,10,2,mse,no,[0.38732995 0.21679636]
LinearRegression,11,2,r2_score,yes,[-0.63936348 -0.88187641]
LinearRegression,11,2,r2_score,no,[-0.40989436 -0.24121701]
LinearRegression,11,2,mae,yes,[-0.70772597 -1.33179439]
LinearRegression,11,2,mae,no,[-0.58509016 -1.00897579]
LinearRegression,11,2,mse,yes,[0.63936348 0.88187641]
LinearRegression,11,2,mse,no,[0.40989436 0.24121701]
LinearRegression,12,2,r2_score,yes,[-0.67061188 -0.78611392]
LinearRegression,12,2,r2_score,no,[-0.34421761 -0.18283035]
LinearRegression,12,2,mae,yes,[-0.72312132 -1.2998515 ]
LinearRegression,12,2,mae,no,[-0.55522076 -1.00889004]
LinearRegression,12,2,mse,yes,[0.67061188 0.78611392]
LinearRegression,12,2,mse,no,[0.34421761 0.18283035]
LinearRegression,13,2,r2_score,yes,[-0.67920012 -0.95157398]
LinearRegression,13,2,r2_score,no,[-0.35745145 -0.18986181]
LinearRegression,13,2,mae,yes,[-0.72443595 -1.35794602]
LinearRegression,13,2,mae,no,[-0.58317044 -1.00164939]
LinearRegression,13,2,mse,yes,[0.67920012 0.95157398]
LinearRegression,13,2,mse,no,[0.35745145 0.18986181]
LinearRegression,14,2,r2_score,yes,[-0.68095369 -0.98653006]
LinearRegression,14,2,r2_score,no,[-0.35745145 -0.18986181]
LinearRegression,14,2,mae,yes,[-0.72732341 -1.37831631]
LinearRegression,14,2,mae,no,[-0.58317044 -1.00164939]
LinearRegression,14,2,mse,yes,[0.68095369 0.98653006]
LinearRegression,14,2,mse,no,[0.35745145 0.18986181]
LinearRegression,15,2,r2_score,yes,[-0.71799184 -1.01664204]
LinearRegression,15,2,r2_score,no,[-0.39323908 -0.15149668]
LinearRegression,15,2,mae,yes,[-0.73723671 -1.36474061]
LinearRegression,15,2,mae,no,[-0.58160176 -0.99777203]
LinearRegression,15,2,mse,yes,[0.71799184 1.01664204]
LinearRegression,15,2,mse,no,[0.39323908 0.15149668]
LinearRegression,2,3,r2_score,yes,[-4.84599005e-01 -2.31482333e-01 -7.60139577e+02]
LinearRegression,2,3,r2_score,no,[-0.35117716 -0.38772524 -1.59449232]
LinearRegression,2,3,mae,yes,[-0.7641549  -1.23958605 -1.00022821]
LinearRegression,2,3,mae,no,[-0.63789412 -1.34298125 -0.9132038 ]
LinearRegression,2,3,mse,yes,[4.84599005e-01 2.31482333e-01 7.60139577e+02]
LinearRegression,2,3,mse,no,[0.35117716 0.38772524 1.59449232]
LinearRegression,3,3,r2_score,yes,[-4.84675507e-01 -2.42894854e-01 -1.11810162e+03]
LinearRegression,3,3,r2_score,no,[-0.34242044 -0.37115959 -8.58222931]
LinearRegression,3,3,mae,yes,[-0.76510703 -1.24034787 -1.35863421]
LinearRegression,3,3,mae,no,[-0.63546366 -1.36509996 -1.81285952]
LinearRegression,3,3,mse,yes,[4.84675507e-01 2.42894854e-01 1.11810162e+03]
LinearRegression,3,3,mse,no,[0.34242044 0.37115959 8.58222931]
LinearRegression,4,3,r2_score,yes,[-5.00934749e-01 -2.37420206e-01 -1.50283085e+03]
LinearRegression,4,3,r2_score,no,[-0.31899933 -0.36445543 -9.10567655]
LinearRegression,4,3,mae,yes,[-0.77719177 -1.23179947 -1.5033866 ]
LinearRegression,4,3,mae,no,[-0.63058082 -1.37782224 -1.85933097]
LinearRegression,4,3,mse,yes,[5.00934749e-01 2.37420206e-01 1.50283085e+03]
LinearRegression,4,3,mse,no,[0.31899933 0.36445543 9.10567655]
LinearRegression,5,3,r2_score,yes,[-4.98778012e-01 -2.70869976e-01 -1.65051479e+03]
LinearRegression,5,3,r2_score,no,[ -0.3161874   -0.36286115 -11.26750787]
LinearRegression,5,3,mae,yes,[-0.77703556 -1.25501337 -1.58953952]
LinearRegression,5,3,mae,no,[-0.63015636 -1.37583242 -2.04833492]
LinearRegression,5,3,mse,yes,[4.98778012e-01 2.70869976e-01 1.65051479e+03]
LinearRegression,5,3,mse,no,[ 0.3161874   0.36286115 11.26750787]
LinearRegression,6,3,r2_score,yes,[-5.54461027e-01 -3.09578962e-01 -5.05214024e+03]
LinearRegression,6,3,r2_score,no,[ -0.36216956  -0.36706878 -12.48089176]
LinearRegression,6,3,mae,yes,[-0.76500166 -1.25413572 -2.08421472]
LinearRegression,6,3,mae,no,[-0.60847503 -1.37679619 -2.13389175]
LinearRegression,6,3,mse,yes,[5.54461027e-01 3.09578962e-01 5.05214024e+03]
LinearRegression,6,3,mse,no,[ 0.36216956  0.36706878 12.48089176]
LinearRegression,7,3,r2_score,yes,[-5.71199418e-01 -3.09932879e-01 -5.15829604e+03]
LinearRegression,7,3,r2_score,no,[ -0.68623866  -0.37344453 -12.47842665]
LinearRegression,7,3,mae,yes,[-0.77306892 -1.25800968 -2.09880178]
LinearRegression,7,3,mae,no,[-0.67954493 -1.37091893 -2.13518159]
LinearRegression,7,3,mse,yes,[5.71199418e-01 3.09932879e-01 5.15829604e+03]
LinearRegression,7,3,mse,no,[ 0.68623866  0.37344453 12.47842665]
LinearRegression,8,3,r2_score,yes,[-5.31331954e-01 -3.39543133e-01 -5.13853099e+03]
LinearRegression,8,3,r2_score,no,[ -0.61425104  -0.36478963 -11.10812713]
LinearRegression,8,3,mae,yes,[-0.76442971 -1.30253745 -2.10843942]
LinearRegression,8,3,mae,no,[-0.66282512 -1.37776859 -2.02587822]
LinearRegression,8,3,mse,yes,[5.31331954e-01 3.39543133e-01 5.13853099e+03]
LinearRegression,8,3,mse,no,[ 0.61425104  0.36478963 11.10812713]
LinearRegression,9,3,r2_score,yes,[-5.31225817e-01 -3.13365505e-01 -1.40868946e+04]
LinearRegression,9,3,r2_score,no,[ -0.73956524  -0.34036371 -11.97225243]
LinearRegression,9,3,mae,yes,[-0.76437713 -1.29834421 -3.1653397 ]
LinearRegression,9,3,mae,no,[-0.69240274 -1.37309492 -2.00574801]
LinearRegression,9,3,mse,yes,[5.31225817e-01 3.13365505e-01 1.40868946e+04]
LinearRegression,9,3,mse,no,[ 0.73956524  0.34036371 11.97225243]
LinearRegression,10,3,r2_score,yes,[-7.90013981e-01 -2.44898926e-01 -1.69969271e+04]
LinearRegression,10,3,r2_score,no,[-0.56663609 -0.32260451 -9.61047407]
LinearRegression,10,3,mae,yes,[-0.81534962 -1.23786272 -3.10973746]
LinearRegression,10,3,mae,no,[-0.64736185 -1.36287802 -1.79704591]
LinearRegression,10,3,mse,yes,[7.90013981e-01 2.44898926e-01 1.69969271e+04]
LinearRegression,10,3,mse,no,[0.56663609 0.32260451 9.61047407]
LinearRegression,11,3,r2_score,yes,[-7.85324980e-01 -2.31615870e-01 -1.18802464e+04]
LinearRegression,11,3,r2_score,no,[-0.61587042 -0.32793721 -8.67563457]
LinearRegression,11,3,mae,yes,[-0.80102115 -1.22790597 -2.59771157]
LinearRegression,11,3,mae,no,[-0.65331791 -1.36495965 -1.74073218]
LinearRegression,11,3,mse,yes,[7.85324980e-01 2.31615870e-01 1.18802464e+04]
LinearRegression,11,3,mse,no,[0.61587042 0.32793721 8.67563457]
LinearRegression,12,3,r2_score,yes,[-7.73215011e-01 -2.87719022e-01 -1.19351774e+04]
LinearRegression,12,3,r2_score,no,[-0.52616081 -0.28645188 -8.66412951]
LinearRegression,12,3,mae,yes,[-0.79534869 -1.25849364 -2.60276779]
LinearRegression,12,3,mae,no,[-0.64119518 -1.31621211 -1.80124193]
LinearRegression,12,3,mse,yes,[7.73215011e-01 2.87719022e-01 1.19351774e+04]
LinearRegression,12,3,mse,no,[0.52616081 0.28645188 8.66412951]
LinearRegression,13,3,r2_score,yes,[-7.93126927e-01 -2.95310350e-01 -1.14608842e+04]
LinearRegression,13,3,r2_score,no,[-0.51355559 -0.28639045 -8.10945071]
LinearRegression,13,3,mae,yes,[-0.80052571 -1.25561127 -2.53762805]
LinearRegression,13,3,mae,no,[-0.63526699 -1.31555981 -1.74799231]
LinearRegression,13,3,mse,yes,[7.93126927e-01 2.95310350e-01 1.14608842e+04]
LinearRegression,13,3,mse,no,[0.51355559 0.28639045 8.10945071]
LinearRegression,14,3,r2_score,yes,[-7.88549447e-01 -3.23625498e-01 -1.13066835e+04]
LinearRegression,14,3,r2_score,no,[-0.51355559 -0.28639045 -8.10945071]
LinearRegression,14,3,mae,yes,[-0.79791093 -1.28069314 -2.53603266]
LinearRegression,14,3,mae,no,[-0.63526699 -1.31555981 -1.74799231]
LinearRegression,14,3,mse,yes,[7.88549447e-01 3.23625498e-01 1.13066835e+04]
LinearRegression,14,3,mse,no,[0.51355559 0.28639045 8.10945071]
LinearRegression,15,3,r2_score,yes,[-8.77784097e-01 -2.58773982e-01 -1.58501297e+04]
LinearRegression,15,3,r2_score,no,[-0.51355559 -0.2214477  -4.27869321]
LinearRegression,15,3,mae,yes,[-0.81101097 -1.27779581 -2.46159857]
LinearRegression,15,3,mae,no,[-0.63526699 -1.2992633  -1.26457733]
LinearRegression,15,3,mse,yes,[8.77784097e-01 2.58773982e-01 1.58501297e+04]
LinearRegression,15,3,mse,no,[0.51355559 0.2214477  4.27869321]
LinearRegression,2,4,r2_score,yes,[-2.78083547e-01  3.76701207e-04 -4.04741442e-01 -2.31174084e+02]
LinearRegression,2,4,r2_score,no,[-3.17636010e-01 -1.06971598e-01 -8.30332301e-01 -3.34567088e+02]
LinearRegression,2,4,mae,yes,[-0.60229634 -0.57787141 -1.39653529 -0.62206125]
LinearRegression,2,4,mae,no,[-0.58715445 -0.45842013 -1.70776971 -0.7941407 ]
LinearRegression,2,4,mse,yes,[ 2.78083547e-01 -3.76701207e-04  4.04741442e-01  2.31174084e+02]
LinearRegression,2,4,mse,no,[3.17636010e-01 1.06971598e-01 8.30332301e-01 3.34567088e+02]
LinearRegression,3,4,r2_score,yes,[-2.73009022e-01  3.92070353e-03 -4.10955065e-01 -7.68064894e+02]
LinearRegression,3,4,r2_score,no,[-2.98240961e-01 -1.85847927e-01 -8.27272109e-01 -7.48866183e+02]
LinearRegression,3,4,mae,yes,[-0.60548862 -0.57058416 -1.34153409 -0.6207781 ]
LinearRegression,3,4,mae,no,[-0.58573612 -0.48232913 -1.70828277 -1.19096489]
LinearRegression,3,4,mse,yes,[ 2.73009022e-01 -3.92070353e-03  4.10955065e-01  7.68064894e+02]
LinearRegression,3,4,mse,no,[2.98240961e-01 1.85847927e-01 8.27272109e-01 7.48866183e+02]
LinearRegression,4,4,r2_score,yes,[-7.41133290e-01 -3.51562518e-02 -3.99201382e-01 -5.45980789e+02]
LinearRegression,4,4,r2_score,no,[-2.71358526e-01 -2.35893791e-01 -8.23404854e-01 -7.92344692e+02]
LinearRegression,4,4,mae,yes,[-0.67024559 -0.59319418 -1.35142348 -0.60796461]
LinearRegression,4,4,mae,no,[-0.5788949  -0.48973092 -1.73499643 -1.2222725 ]
LinearRegression,4,4,mse,yes,[7.41133290e-01 3.51562518e-02 3.99201382e-01 5.45980789e+02]
LinearRegression,4,4,mse,no,[2.71358526e-01 2.35893791e-01 8.23404854e-01 7.92344692e+02]
LinearRegression,5,4,r2_score,yes,[-7.61860769e-01 -2.90830080e-02 -4.50058606e-01 -7.54958409e+02]
LinearRegression,5,4,r2_score,no,[-2.73193104e-01 -2.28689771e-01 -8.11479168e-01 -8.83842682e+02]
LinearRegression,5,4,mae,yes,[-0.67074974 -0.58327599 -1.39957006 -0.69799554]
LinearRegression,5,4,mae,no,[-0.57732608 -0.48789318 -1.73100249 -1.28772485]
LinearRegression,5,4,mse,yes,[7.61860769e-01 2.90830080e-02 4.50058606e-01 7.54958409e+02]
LinearRegression,5,4,mse,no,[2.73193104e-01 2.28689771e-01 8.11479168e-01 8.83842682e+02]
LinearRegression,6,4,r2_score,yes,[-1.09105542e+00 -1.38442349e-02 -5.26618619e-01 -3.71870436e+03]
LinearRegression,6,4,r2_score,no,[-3.85175706e-01 -2.81875882e-01 -8.48582123e-01 -1.07324925e+03]
LinearRegression,6,4,mae,yes,[-0.7179685  -0.5647684  -1.41960881 -1.24109831]
LinearRegression,6,4,mae,no,[-0.56920729 -0.50513148 -1.74735645 -1.41075834]
LinearRegression,6,4,mse,yes,[1.09105542e+00 1.38442349e-02 5.26618619e-01 3.71870436e+03]
LinearRegression,6,4,mse,no,[3.85175706e-01 2.81875882e-01 8.48582123e-01 1.07324925e+03]
LinearRegression,7,4,r2_score,yes,[-1.35712987e+00 -1.63969533e-02 -5.27198738e-01 -3.70325349e+03]
LinearRegression,7,4,r2_score,no,[-8.36328004e-01 -2.61885429e-01 -8.50801625e-01 -1.09904988e+03]
LinearRegression,7,4,mae,yes,[-0.8738046  -0.56561041 -1.42990212 -1.23896649]
LinearRegression,7,4,mae,no,[-0.72685351 -0.48935136 -1.73501743 -1.42660275]
LinearRegression,7,4,mse,yes,[1.35712987e+00 1.63969533e-02 5.27198738e-01 3.70325349e+03]
LinearRegression,7,4,mse,no,[8.36328004e-01 2.61885429e-01 8.50801625e-01 1.09904988e+03]
LinearRegression,8,4,r2_score,yes,[-1.27238772e+00 -2.81870139e-01 -5.29637767e-01 -3.78179478e+03]
LinearRegression,8,4,r2_score,no,[-5.62018819e-01 -4.60499466e-01 -8.38585151e-01 -9.55706541e+02]
LinearRegression,8,4,mae,yes,[-0.79628653 -0.5877894  -1.44406829 -1.23281724]
LinearRegression,8,4,mae,no,[-0.63644455 -0.49515538 -1.73262749 -1.32524701]
LinearRegression,8,4,mse,yes,[1.27238772e+00 2.81870139e-01 5.29637767e-01 3.78179478e+03]
LinearRegression,8,4,mse,no,[5.62018819e-01 4.60499466e-01 8.38585151e-01 9.55706541e+02]
LinearRegression,9,4,r2_score,yes,[-1.39791356e+00 -2.50280938e-01 -5.10452017e-01 -1.51242520e+04]
LinearRegression,9,4,r2_score,no,[-7.08385172e-01 -4.71273270e-01 -8.16944300e-01 -1.34097242e+03]
LinearRegression,9,4,mae,yes,[-0.81020707 -0.60159582 -1.43975199 -2.72914089]
LinearRegression,9,4,mae,no,[-0.65282111 -0.51774778 -1.71590545 -1.37764607]
LinearRegression,9,4,mse,yes,[1.39791356e+00 2.50280938e-01 5.10452017e-01 1.51242520e+04]
LinearRegression,9,4,mse,no,[7.08385172e-01 4.71273270e-01 8.16944300e-01 1.34097242e+03]
LinearRegression,10,4,r2_score,yes,[-2.68066150e+00 -8.15265832e-02 -4.51703683e-01 -1.73800513e+04]
LinearRegression,10,4,r2_score,no,[-4.14957306e-01 -6.23694509e-01 -7.92678840e-01 -1.05927590e+03]
LinearRegression,10,4,mae,yes,[-0.91910711 -0.5723114  -1.39471062 -2.86439052]
LinearRegression,10,4,mae,no,[-0.6043563  -0.53701845 -1.70063679 -1.16014427]
LinearRegression,10,4,mse,yes,[2.68066150e+00 8.15265832e-02 4.51703683e-01 1.73800513e+04]
LinearRegression,10,4,mse,no,[4.14957306e-01 6.23694509e-01 7.92678840e-01 1.05927590e+03]
LinearRegression,11,4,r2_score,yes,[-2.46675972e+00 -2.40324172e-01 -4.29841714e-01 -1.15304214e+04]
LinearRegression,11,4,r2_score,no,[-4.35596958e-01 -9.37909301e-01 -7.90316881e-01 -8.97073235e+02]
LinearRegression,11,4,mae,yes,[-0.90394435 -0.60051089 -1.37014243 -2.23723154]
LinearRegression,11,4,mae,no,[-0.60017562 -0.55266912 -1.70095165 -1.10171218]
LinearRegression,11,4,mse,yes,[2.46675972e+00 2.40324172e-01 4.29841714e-01 1.15304214e+04]
LinearRegression,11,4,mse,no,[4.35596958e-01 9.37909301e-01 7.90316881e-01 8.97073235e+02]
LinearRegression,12,4,r2_score,yes,[-8.06504593e-01 -4.57949323e-01 -4.37080325e-01 -1.17996003e+04]
LinearRegression,12,4,r2_score,no,[-3.10858627e-01 -7.53650111e-01 -7.51245336e-01 -7.78694346e+02]
LinearRegression,12,4,mae,yes,[-0.71031193 -0.6137329  -1.37266359 -2.26415057]
LinearRegression,12,4,mae,no,[-0.5789035  -0.48969354 -1.7004262  -1.11287786]
LinearRegression,12,4,mse,yes,[8.06504593e-01 4.57949323e-01 4.37080325e-01 1.17996003e+04]
LinearRegression,12,4,mse,no,[3.10858627e-01 7.53650111e-01 7.51245336e-01 7.78694346e+02]
LinearRegression,13,4,r2_score,yes,[-8.06174332e-01 -4.53472995e-01 -4.53908661e-01 -1.13544969e+04]
LinearRegression,13,4,r2_score,no,[-3.54862127e-01 -7.67066043e-01 -7.52750195e-01 -6.48741331e+02]
LinearRegression,13,4,mae,yes,[-0.70024188 -0.61063135 -1.3813196  -2.20478177]
LinearRegression,13,4,mae,no,[-0.5971632  -0.50078352 -1.69127517 -1.03790339]
LinearRegression,13,4,mse,yes,[8.06174332e-01 4.53472995e-01 4.53908661e-01 1.13544969e+04]
LinearRegression,13,4,mse,no,[3.54862127e-01 7.67066043e-01 7.52750195e-01 6.48741331e+02]
LinearRegression,14,4,r2_score,yes,[-7.81853025e-01 -7.21515186e-01 -4.62635518e-01 -1.12195231e+04]
LinearRegression,14,4,r2_score,no,[-3.54862127e-01 -7.67066043e-01 -7.52750195e-01 -6.48741331e+02]
LinearRegression,14,4,mae,yes,[-0.69291156 -0.63637302 -1.38740129 -2.19092488]
LinearRegression,14,4,mae,no,[-0.5971632  -0.50078352 -1.69127517 -1.03790339]
LinearRegression,14,4,mse,yes,[7.81853025e-01 7.21515186e-01 4.62635518e-01 1.12195231e+04]
LinearRegression,14,4,mse,no,[3.54862127e-01 7.67066043e-01 7.52750195e-01 6.48741331e+02]
LinearRegression,15,4,r2_score,yes,[-7.81853025e-01 -1.04115088e+00 -4.00109253e-01 -1.49882214e+04]
LinearRegression,15,4,r2_score,no,[  -0.35486213   -1.0693748    -0.69558695 -208.7607653 ]
LinearRegression,15,4,mae,yes,[-0.69291156 -0.82356598 -1.3523345  -2.00402932]
LinearRegression,15,4,mae,no,[-0.5971632  -0.64403234 -1.66912986 -0.55220281]
LinearRegression,15,4,mse,yes,[7.81853025e-01 1.04115088e+00 4.00109253e-01 1.49882214e+04]
LinearRegression,15,4,mse,no,[  0.35486213   1.0693748    0.69558695 208.7607653 ]
LinearRegression,2,5,r2_score,yes,[ -8.92840621  -1.07856283  -0.20563157  -0.52046295 -96.10236006]
LinearRegression,2,5,r2_score,no,"[-7.89984149e+00 -8.14993150e-01  2.78886448e-02 -8.54108093e-01
 -1.65245011e+02]"
LinearRegression,2,5,mae,yes,[-0.16103706 -1.05917253 -0.51661794 -1.52953571 -0.42559435]
LinearRegression,2,5,mae,no,[-0.12777567 -0.89818152 -0.5922193  -1.76251568 -0.58195182]
LinearRegression,2,5,mse,yes,[ 8.92840621  1.07856283  0.20563157  0.52046295 96.10236006]
LinearRegression,2,5,mse,no,"[ 7.89984149e+00  8.14993150e-01 -2.78886448e-02  8.54108093e-01
  1.65245011e+02]"
LinearRegression,3,5,r2_score,yes,"[-9.14229283e+00 -1.07790548e+00 -1.94475814e-01 -5.17952618e-01
 -1.12708708e+03]"
LinearRegression,3,5,r2_score,no,"[-8.68032170e+00 -8.06789229e-01  1.98017463e-03 -8.54364619e-01
 -1.44755537e+02]"
LinearRegression,3,5,mae,yes,[-0.16524221 -1.05926095 -0.51036577 -1.42748459 -0.56922991]
LinearRegression,3,5,mae,no,[-0.14677334 -0.89676484 -0.63975175 -1.76119658 -0.5440636 ]
LinearRegression,3,5,mse,yes,"[9.14229283e+00 1.07790548e+00 1.94475814e-01 5.17952618e-01
 1.12708708e+03]"
LinearRegression,3,5,mse,no,"[ 8.68032170e+00  8.06789229e-01 -1.98017463e-03  8.54364619e-01
  1.44755537e+02]"
LinearRegression,4,5,r2_score,yes,"[-8.48082140e+01 -1.09726170e+00 -1.72451532e-01 -5.07762512e-01
 -9.16312668e+02]"
LinearRegression,4,5,r2_score,no,"[-8.98834979e+00 -6.85239671e-01 -2.62645784e-02 -8.53979424e-01
 -1.80791229e+02]"
LinearRegression,4,5,mae,yes,[-0.26132791 -1.0740206  -0.49915128 -1.45546646 -0.53562572]
LinearRegression,4,5,mae,no,[-0.14911576 -0.87195014 -0.66052897 -1.76454876 -0.60328666]
LinearRegression,4,5,mse,yes,"[8.48082140e+01 1.09726170e+00 1.72451532e-01 5.07762512e-01
 9.16312668e+02]"
LinearRegression,4,5,mse,no,"[8.98834979e+00 6.85239671e-01 2.62645784e-02 8.53979424e-01
 1.80791229e+02]"
LinearRegression,5,5,r2_score,yes,"[-2.81195072e+02 -1.09432680e+00 -2.70608913e-01 -5.28490406e-01
 -1.20253203e+03]"
LinearRegression,5,5,r2_score,no,"[-5.46907144e+01 -7.05421144e-01 -2.14657643e-02 -8.31879555e-01
 -2.06101882e+02]"
LinearRegression,5,5,mae,yes,[-0.46872018 -1.07341338 -0.53858092 -1.44968647 -0.65045407]
LinearRegression,5,5,mae,no,[-0.33410998 -0.87664215 -0.65477058 -1.76854827 -0.6390602 ]
LinearRegression,5,5,mse,yes,"[2.81195072e+02 1.09432680e+00 2.70608913e-01 5.28490406e-01
 1.20253203e+03]"
LinearRegression,5,5,mse,no,"[5.46907144e+01 7.05421144e-01 2.14657643e-02 8.31879555e-01
 2.06101882e+02]"
LinearRegression,6,5,r2_score,yes,"[-3.59948475e+02 -1.17072509e+00 -2.76952155e-01 -5.43394927e-01
 -4.16843883e+03]"
LinearRegression,6,5,r2_score,no,"[-5.36297162e+01 -8.35454296e-01 -2.47866131e-02 -7.49620383e-01
 -4.00010497e+02]"
LinearRegression,6,5,mae,yes,[-0.51982187 -1.07865232 -0.51452785 -1.45339393 -1.25464391]
LinearRegression,6,5,mae,no,[-0.28737086 -0.88664421 -0.6539198  -1.73194217 -0.89750437]
LinearRegression,6,5,mse,yes,"[3.59948475e+02 1.17072509e+00 2.76952155e-01 5.43394927e-01
 4.16843883e+03]"
LinearRegression,6,5,mse,no,"[5.36297162e+01 8.35454296e-01 2.47866131e-02 7.49620383e-01
 4.00010497e+02]"
LinearRegression,7,5,r2_score,yes,"[-3.20631318e+02 -1.18330850e+00 -2.69592926e-01 -5.63703163e-01
 -4.12242573e+03]"
LinearRegression,7,5,r2_score,no,"[-4.37701235e+01 -1.01723518e+00 -5.22172384e-02 -7.90450041e-01
 -4.17782239e+02]"
LinearRegression,7,5,mae,yes,[-0.55040949 -1.08089899 -0.52056407 -1.46386137 -1.24633084]
LinearRegression,7,5,mae,no,[-0.28995784 -0.93428471 -0.64914788 -1.76690309 -0.91721817]
LinearRegression,7,5,mse,yes,"[3.20631318e+02 1.18330850e+00 2.69592926e-01 5.63703163e-01
 4.12242573e+03]"
LinearRegression,7,5,mse,no,"[4.37701235e+01 1.01723518e+00 5.22172384e-02 7.90450041e-01
 4.17782239e+02]"
LinearRegression,8,5,r2_score,yes,"[-3.27668430e+02 -1.15505415e+00 -4.86038975e-01 -5.73973618e-01
 -4.16684202e+03]"
LinearRegression,8,5,r2_score,no,"[-3.96039013e+01 -9.25823815e-01 -7.07790849e-02 -7.89799395e-01
 -3.96262967e+02]"
LinearRegression,8,5,mae,yes,[-0.51517612 -1.0686573  -0.57005963 -1.44948055 -1.23778691]
LinearRegression,8,5,mae,no,[-0.2625504  -0.91458544 -0.68127639 -1.71591041 -0.89106898]
LinearRegression,8,5,mse,yes,"[3.27668430e+02 1.15505415e+00 4.86038975e-01 5.73973618e-01
 4.16684202e+03]"
LinearRegression,8,5,mse,no,"[3.96039013e+01 9.25823815e-01 7.07790849e-02 7.89799395e-01
 3.96262967e+02]"
LinearRegression,9,5,r2_score,yes,"[-3.62390332e+02 -1.14905640e+00 -4.42075649e-01 -5.46266885e-01
 -1.62981002e+04]"
LinearRegression,9,5,r2_score,no,"[-3.83255966e+01 -9.68280547e-01 -4.07909407e-02 -7.50698652e-01
 -8.82089179e+02]"
LinearRegression,9,5,mae,yes,[-0.53353155 -1.0672468  -0.57892934 -1.42547058 -3.1278112 ]
LinearRegression,9,5,mae,no,[-0.25801454 -0.92443762 -0.67380976 -1.68468075 -1.03925376]
LinearRegression,9,5,mse,yes,"[3.62390332e+02 1.14905640e+00 4.42075649e-01 5.46266885e-01
 1.62981002e+04]"
LinearRegression,9,5,mse,no,"[3.83255966e+01 9.68280547e-01 4.07909407e-02 7.50698652e-01
 8.82089179e+02]"
